"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"FASWM","Hayes, Tyler","25-29","58.72","37/6","NS","","0"
"TOC","Holsman, Trent","40-44","56.52","28/8","NS","","0"
"NYAC","Johnson, Eric","60-64","1:06.50","11/1","NS","","0"
"UC26","Johnson, Gregory","65-69","1:45.00","3/8","NS","","0"
"1693","Joo, Jared","25-29","55.35","39/9","NS","","0"
"NAM","Lentz, Gabriel","18-24","1:03.25","41/4","NS","","0"
"N*VA","Liao, Eric","18-24","54.00","43/3","NS","","0"
"UC33","Lozano, Manuel","50-54","1:07.00","18/9","NS","","0"
"SFTL","Manzi, Francesco","35-39","1:02.00","30/2","NS","","0"
"LRM","Mastracchio, Dominic","50-54","58.81","20/2","NS","","0"
"LSM","McClure, Michael","40-44","1:08.11","25/9","NS","","0"
"MICH","Mitchell, Ayinde","45-49","58.06","24/2","NS","","0"
"NOVA","Moore, Peter","50-54","57.00","20/7","NS","","0"
"MOST","Nereson, Kenny","65-69","1:15.00","6/6","NS","","0"
"NBM","Salas, Chad","45-49","1:16.32","21/9","NS","","0"
"UC13","Sproles, Greg","55-59","59.34","16/4","NS","","0"
"DUMS","Tableman, Mark","25-29","1:30.35","36/10","NS","","0"
"NOVA","Terrell, Josh","40-44","1:00.76","27/3","NS","","0"
"1693","Tolar, Jack","18-24","58.00","42/5","NS","","0"
"MARS","Weaver, Bevan","40-44","1:10.02","25/10","NS","","0"
"TXLA","Young, Stanford","60-64","1:10.35","10/7","NS","","0"
